PIL_TOG_HOLD_PIL_TOG,18:06,18:37,AB,AB,3,3,MF,51_70,0,77
RNG,12:45,13:00,ABp,AB,3,3,MF,148,1,78
PIL_TOG,13:00,14:38,AB,AR,3,3,MF,148,0,79
HOLD_PIL,14:38,14:45,AR,AR,3,3,MF,148,0,80
HOLD_PIL_TOG,15:12,16:51,AR,AB,3,3,MF,147,0,81
RNG,17:45,18:00,ABp,AB,3,3,MF,168,1,82
PIL_TOG,18:00,19:38,AB,AR,3,3,MF,168,0,83
PIL_TOG_HOLD_PIL_TOG,13:06,13:37,AB,AB,3,3,MF,31_50,0,84
HOLD_PIL_TOG,13:37,15:08,AB,AR,3,3,MF,50,0,85
HOLD_PIL,15:08,15:15,AR,AR,3,3,MF,50,0,86
PERN_TOG,16:38,17:45,AR,FA,3,3,MF,156,0,87
PIL_TOG,18:08,19:12,FA,AR,3,3,MF,163,0,88
HOLD_PIL_TOG,19:12,20:51,AR,AB,3,3,MF,163,0,89
RNG_TAF,20:51,21:21,AB,ABp,3,3,MF,163,1,90
RNG,13:51,14:11,AB,ABp,3,3,MF,133,1,91
HOLD,14:11,14:45,ABp,ABp,3,3,MF,156,1,92
RNG,14:45,15:00,ABp,AB,3,3,MF,156,1,93
PIL_TOG,15:00,16:38,AB,AR,3,3,MF,156,0,94
HOLD_PIL,16:38,16:45,AR,AR,3,3,MF,156,0,95
HOLD_PIL_TOG,17:38,18:45,AR,FA,3,3,MF,160,0,96
HOLD_PIL_TOG,19:06,20:12,FA,AR,3,3,MF,165,0,97
HOLD_PIL_TOG,20:12,21:51,AR,AB,3,3,MF,165,0,98
RNG,15:30,15:45,ABp,AB,3,3,MF,58,1,99
PIL_TOG,15:45,17:08,AB,AR,3,3,MF,58,0,100
HOLD_PIL_TOG,17:42,19:06,AR,AB,3,3,MF,55,0,101
PIL_TOG,20:00,21:38,AB,AR,3,3,MF,476,0,102
HOLD_PIL_TOG,17:08,18:17,AR,FA,3,3,MF,58,0,103
PIL_TOG,18:38,19:42,FA,AR,3,3,MF,63,0,104
PERN_RNG_TAF,20:42,21:15,AR,ARp,3,3,MF,67,2,105
HOLD_PIL_TOG,15:51,17:38,AB,AR,3,3,MF,160,0,106
HOLD_PIL_TOG,18:42,20:06,AR,AB,3,3,MF,59,0,107
PIL_TOG_HOLD_PIL_TOG,20:06,21:01,AB,AB,3,3,MF,59_180,0,108
RNG_F_IRG_TAF,21:51,22:51,AB,ABp,3,3,MF,165,1,109
HOLD_PIL_TOG,16:37,18:08,AB,AR,3,3,MF,62,0,110
HOLD_PIL_TOG,18:08,19:17,AR,FA,3,3,MF,62,0,111
HOLD,19:17,19:18,FA,FA,3,3,MF,62,0,112
PIL_TOG,20:08,21:12,FA,AR,3,3,MF,171,0,113
HOLD_PIL_TOG,21:12,22:51,AR,AB,3,3,MF,171,0,114
