Start time,End time,Start station,End station,Day,Endday,Train number
590,682,FA,SDB,3,3,27
649,682,TE,SDB,3,3,27
530,608,AB,AR,3,3,30
530,677,AB,FA,3,3,30
530,710,AB,OD,3,3,30
530,783,AB,KH,3,3,30
530,815,AB,CPHkak,3,3,30
615,677,AR,FA,3,3,30
615,710,AR,OD,3,3,30
615,783,AR,KH,3,3,30
615,815,AR,CPHkak,3,3,30
683,710,FA,OD,3,3,30
683,783,FA,KH,3,3,30
683,815,FA,CPHkak,3,3,30
713,783,OD,KH,3,3,30
713,815,OD,CPHkak,3,3,30
792,815,KH,CPHkak,3,3,30
575,710,SDB,OD,3,3,30
575,783,SDB,KH,3,3,30
575,815,SDB,CPHkak,3,3,30
575,608,SDB,TE,3,3,30
575,667,SDB,FA,3,3,30
610,710,TE,OD,3,3,30
610,783,TE,KH,3,3,30
610,815,TE,CPHkak,3,3,30
610,667,TE,FA,3,3,30
497,521,CPHkak,KH,3,3,31
497,607,CPHkak,OD,3,3,31
497,638,CPHkak,FA,3,3,31
497,702,CPHkak,AR,3,3,31
497,661,CPHkak,VJ,3,3,31
497,767,CPHkak,STR,3,3,31
497,786,CPHkak,AB,3,3,31
536,607,KH,OD,3,3,31
536,638,KH,FA,3,3,31
536,702,KH,AR,3,3,31
536,661,KH,VJ,3,3,31
536,767,KH,STR,3,3,31
536,786,KH,AB,3,3,31
610,638,OD,FA,3,3,31
610,702,OD,AR,3,3,31
610,661,OD,VJ,3,3,31
610,767,OD,STR,3,3,31
610,786,OD,AB,3,3,31
643,702,FA,AR,3,3,31
643,661,FA,VJ,3,3,31
643,767,FA,STR,3,3,31
643,786,FA,AB,3,3,31
646,661,FA,VJ,3,3,31
646,767,FA,STR,3,3,31
646,786,FA,AB,3,3,31
663,767,VJ,STR,3,3,31
663,786,VJ,AB,3,3,31
710,786,AR,AB,3,3,31
590,668,AB,AR,3,3,34
590,737,AB,FA,3,3,34
590,770,AB,OD,3,3,34
590,843,AB,KH,3,3,34
590,875,AB,CPHkak,3,3,34
675,737,AR,FA,3,3,34
675,770,AR,OD,3,3,34
675,843,AR,KH,3,3,34
675,875,AR,CPHkak,3,3,34
743,770,FA,OD,3,3,34
743,843,FA,KH,3,3,34
743,875,FA,CPHkak,3,3,34
773,843,OD,KH,3,3,34
773,875,OD,CPHkak,3,3,34
852,875,KH,CPHkak,3,3,34
557,581,CPHkak,KH,3,3,35
557,667,CPHkak,OD,3,3,35
557,698,CPHkak,FA,3,3,35
557,762,CPHkak,AR,3,3,35
557,846,CPHkak,AB,3,3,35
557,767,CPHkak,TE,3,3,35
557,802,CPHkak,SDB,3,3,35
596,667,KH,OD,3,3,35
596,698,KH,FA,3,3,35
596,762,KH,AR,3,3,35
596,846,KH,AB,3,3,35
596,767,KH,TE,3,3,35
596,802,KH,SDB,3,3,35
670,698,OD,FA,3,3,35
670,762,OD,AR,3,3,35
670,846,OD,AB,3,3,35
670,767,OD,TE,3,3,35
670,802,OD,SDB,3,3,35
703,762,FA,AR,3,3,35
703,846,FA,AB,3,3,35
770,846,AR,AB,3,3,35
710,846,FA,AB,3,3,35
710,767,FA,TE,3,3,35
710,802,FA,SDB,3,3,35
769,802,TE,SDB,3,3,35
650,728,AB,AR,3,3,38
650,797,AB,FA,3,3,38
650,830,AB,OD,3,3,38
650,903,AB,KH,3,3,38
650,935,AB,CPHkak,3,3,38
735,797,AR,FA,3,3,38
735,830,AR,OD,3,3,38
735,903,AR,KH,3,3,38
735,935,AR,CPHkak,3,3,38
803,830,FA,OD,3,3,38
803,903,FA,KH,3,3,38
803,935,FA,CPHkak,3,3,38
833,903,OD,KH,3,3,38
833,935,OD,CPHkak,3,3,38
912,935,KH,CPHkak,3,3,38
695,830,SDB,OD,3,3,38
695,903,SDB,KH,3,3,38
695,935,SDB,CPHkak,3,3,38
695,728,SDB,TE,3,3,38
695,787,SDB,FA,3,3,38
730,830,TE,OD,3,3,38
730,903,TE,KH,3,3,38
730,935,TE,CPHkak,3,3,38
730,787,TE,FA,3,3,38
617,641,CPHkak,KH,3,3,39
617,727,CPHkak,OD,3,3,39
617,758,CPHkak,FA,3,3,39
617,822,CPHkak,AR,3,3,39
617,906,CPHkak,AB,3,3,39
656,727,KH,OD,3,3,39
656,758,KH,FA,3,3,39
656,822,KH,AR,3,3,39
656,906,KH,AB,3,3,39
730,758,OD,FA,3,3,39
730,822,OD,AR,3,3,39
730,906,OD,AB,3,3,39
763,822,FA,AR,3,3,39
763,906,FA,AB,3,3,39
830,906,AR,AB,3,3,39
710,788,AB,AR,3,3,42
710,836,AB,VJ,3,3,42
710,857,AB,FA,3,3,42
710,853,AB,FA,3,3,42
710,890,AB,OD,3,3,42
710,963,AB,KH,3,3,42
710,995,AB,CPHkak,3,3,42
724,836,STR,VJ,3,3,42
724,857,STR,FA,3,3,42
724,853,STR,FA,3,3,42
724,890,STR,OD,3,3,42
724,963,STR,KH,3,3,42
724,995,STR,CPHkak,3,3,42
795,857,AR,FA,3,3,42
795,853,AR,FA,3,3,42
795,890,AR,OD,3,3,42
795,963,AR,KH,3,3,42
795,995,AR,CPHkak,3,3,42
837,853,VJ,FA,3,3,42
837,890,VJ,OD,3,3,42
837,963,VJ,KH,3,3,42
837,995,VJ,CPHkak,3,3,42
863,890,FA,OD,3,3,42
863,963,FA,KH,3,3,42
863,995,FA,CPHkak,3,3,42
893,963,OD,KH,3,3,42
