Column1,Column2,Start station,End station,Day,DayEND,Train number
1001,1066,ES,FA,3,3,3359
1061,1126,ES,FA,3,3,3363
1121,1186,ES,FA,3,3,3367
1181,1246,ES,FA,3,3,3371
1241,1308,ES,FA,3,3,3375
1301,1368,ES,FA,3,3,3379
1361,1428,ES,FA,3,3,3383
1421,48,ES,FA,3,4,3387
327,408,ES,OD,3,3,810
387,468,ES,OD,3,3,814
447,528,ES,OD,3,3,818
507,588,ES,OD,3,3,822
567,648,ES,OD,3,3,826
627,708,ES,OD,3,3,830
687,768,ES,OD,3,3,834
747,828,ES,OD,3,3,838
807,888,ES,OD,3,3,842
867,948,ES,OD,3,3,846
927,1008,ES,OD,3,3,850
987,1068,ES,OD,3,3,854
1047,1128,ES,OD,3,3,858
1107,1188,ES,OD,3,3,862
1167,1248,ES,OD,3,3,866
1227,1308,ES,OD,3,3,870
403,462,FA,AR,3,3,15
463,522,FA,AR,3,3,19
523,582,FA,AR,3,3,23
583,642,FA,AR,3,3,27
643,702,FA,AR,3,3,31
703,762,FA,AR,3,3,35
763,822,FA,AR,3,3,39
823,882,FA,AR,3,3,43
883,942,FA,AR,3,3,47
943,1002,FA,AR,3,3,51
1003,1062,FA,AR,3,3,55
1063,1122,FA,AR,3,3,59
1123,1182,FA,AR,3,3,63
1183,1242,FA,AR,3,3,67
1243,1302,FA,AR,3,3,71
373,432,FA,AR,3,3,113
433,492,FA,AR,3,3,117
553,612,FA,AR,3,3,125
613,672,FA,AR,3,3,131
673,732,FA,AR,3,3,133
733,792,FA,AR,3,3,139
853,912,FA,AR,3,3,147
913,972,FA,AR,3,3,149
973,1032,FA,AR,3,3,155
1033,1092,FA,AR,3,3,157
1093,1152,FA,AR,3,3,163
1153,1212,FA,AR,3,3,165
1213,1272,FA,AR,3,3,171
1273,1332,FA,AR,3,3,173
1340,1399,FA,AR,3,3,177
1393,12,FA,AR,3,4,181
490,545,FA,AR,3,3,321
850,905,FA,AR,3,3,345
970,1025,FA,AR,3,3,353
1090,1145,FA,AR,3,3,361
1100,1160,FA,AR,3,3,384
860,920,FA,AR,3,3,386
201,262,FA,AR,4,4,403
313,372,FA,AR,4,4,409
73,132,FA,AR,4,4,489
380,452,FA,AR,3,3,2913
440,512,FA,AR,3,3,2917
920,992,FA,AR,3,3,2949
980,1052,FA,AR,3,3,2953
350,422,FA,AR,3,3,3311
410,482,FA,AR,3,3,3315
470,542,FA,AR,3,3,3319
530,602,FA,AR,3,3,3323
590,662,FA,AR,3,3,3327
650,722,FA,AR,3,3,3331
710,782,FA,AR,3,3,3335
770,842,FA,AR,3,3,3339
830,902,FA,AR,3,3,3343
890,962,FA,AR,3,3,3347
950,1022,FA,AR,3,3,3351
1010,1082,FA,AR,3,3,3355
1070,1142,FA,AR,3,3,3359
1130,1202,FA,AR,3,3,3363
1190,1262,FA,AR,3,3,3367
1250,1322,FA,AR,3,3,3371
1310,1382,FA,AR,3,3,3391
1370,2,FA,AR,3,4,3395
496,554,FA,AR,3,3,5750
20,79,FA,AR,4,4,5766
313,378,FA,ES,3,3,3306
373,438,FA,ES,3,3,3310
433,498,FA,ES,3,3,3314
493,558,FA,ES,3,3,3318
553,618,FA,ES,3,3,3322
613,678,FA,ES,3,3,3326
673,738,FA,ES,3,3,3330
733,798,FA,ES,3,3,3334
793,858,FA,ES,3,3,3338
853,918,FA,ES,3,3,3342
913,978,FA,ES,3,3,3346
973,1038,FA,ES,3,3,3350
1033,1098,FA,ES,3,3,3354
1093,1158,FA,ES,3,3,3358
1153,1218,FA,ES,3,3,3362
1213,1278,FA,ES,3,3,3366
1273,1338,FA,ES,3,3,3370
1333,1398,FA,ES,3,3,3374
1403,28,FA,ES,3,4,3390
323,350,FA,OD,3,3,6
383,410,FA,OD,3,3,10
443,470,FA,OD,3,3,14
503,530,FA,OD,3,3,18
563,590,FA,OD,3,3,22
623,650,FA,OD,3,3,26
683,710,FA,OD,3,3,30
743,770,FA,OD,3,3,34
803,830,FA,OD,3,3,38
863,890,FA,OD,3,3,42
923,950,FA,OD,3,3,46
983,1010,FA,OD,3,3,50
1043,1070,FA,OD,3,3,54
1103,1130,FA,OD,3,3,58
1163,1190,FA,OD,3,3,62
1223,1250,FA,OD,3,3,66
1283,1310,FA,OD,3,3,70
353,383,FA,OD,3,3,108
413,443,FA,OD,3,3,112
473,503,FA,OD,3,3,116
533,563,FA,OD,3,3,120
593,623,FA,OD,3,3,124
