Column1,Column2,Start station,End station,Day,DayEND,Train number
981,1054,OD,KH,3,3,394
741,814,OD,KH,3,3,396
252,348,OD,KH,4,4,400
1345,0,OD,KH,3,4,472
1405,60,OD,KH,3,4,476
145,240,OD,KH,4,4,488
291,387,OD,KH,3,3,802
356,451,OD,KH,3,3,806
416,511,OD,KH,3,3,810
476,571,OD,KH,3,3,814
536,631,OD,KH,3,3,818
596,691,OD,KH,3,3,822
656,751,OD,KH,3,3,826
716,811,OD,KH,3,3,830
776,871,OD,KH,3,3,834
836,931,OD,KH,3,3,838
896,991,OD,KH,3,3,842
956,1051,OD,KH,3,3,846
1016,1111,OD,KH,3,3,850
1076,1171,OD,KH,3,3,854
1136,1231,OD,KH,3,3,858
1196,1291,OD,KH,3,3,862
1256,1351,OD,KH,3,3,866
520,590,OD,TE,3,3,393
760,830,OD,TE,3,3,395
1000,1070,OD,TE,3,3,397
1026,1034,PA,TE,3,3,384
786,794,PA,TE,3,3,386
1139,1147,PA,TE,3,3,392
899,907,PA,TE,3,3,394
659,667,PA,TE,3,3,396
426,434,PA,TE,3,3,5750
546,554,PA,TE,3,3,5752
666,674,PA,TE,3,3,5754
906,914,PA,TE,3,3,5758
1146,1154,PA,TE,3,3,5762
1266,1274,PA,TE,3,3,5764
1386,1394,PA,TE,3,3,5766
275,308,SDB,TE,4,4,910
335,368,SDB,TE,4,4,914
455,488,SDB,TE,3,3,922
575,608,SDB,TE,3,3,930
695,728,SDB,TE,3,3,938
815,848,SDB,TE,3,3,946
935,968,SDB,TE,3,3,954
1055,1088,SDB,TE,3,3,962
1175,1208,SDB,TE,3,3,970
1295,1328,SDB,TE,3,3,978
484,596,STR,VJ,3,3,726
724,836,STR,VJ,3,3,742
844,956,STR,VJ,3,3,750
1084,1196,STR,VJ,3,3,766
1036,1094,TE,FA,3,3,384
796,854,TE,FA,3,3,386
310,367,TE,FA,4,4,910
370,427,TE,FA,3,3,914
490,547,TE,FA,3,3,922
610,667,TE,FA,3,3,930
730,787,TE,FA,3,3,938
850,907,TE,FA,3,3,946
970,1027,TE,FA,3,3,954
1090,1147,TE,FA,3,3,962
1210,1267,TE,FA,3,3,970
1330,1387,TE,FA,3,3,978
436,494,TE,FA,3,3,5750
556,614,TE,FA,3,3,5752
676,734,TE,FA,3,3,5754
916,974,TE,FA,3,3,5758
1156,1214,TE,FA,3,3,5762
1276,1334,TE,FA,3,3,5764
1396,14,TE,FA,3,4,5766
1147,1218,TE,OD,3,3,392
907,978,TE,OD,3,3,394
667,738,TE,OD,3,3,396
704,713,TE,PA,3,3,383
944,953,TE,PA,3,3,385
590,599,TE,PA,3,3,393
830,839,TE,PA,3,3,395
1070,1079,TE,PA,3,3,397
344,353,TE,PA,3,3,5751
464,473,TE,PA,3,3,5753
584,593,TE,PA,3,3,5755
824,833,TE,PA,3,3,5759
1064,1073,TE,PA,3,3,5763
1184,1193,TE,PA,3,3,5765
1304,1313,TE,PA,3,3,5767
409,442,TE,SDB,3,3,911
529,562,TE,SDB,3,3,919
649,682,TE,SDB,3,3,927
769,802,TE,SDB,3,3,935
889,922,TE,SDB,3,3,943
1009,1042,TE,SDB,3,3,951
1129,1162,TE,SDB,3,3,959
1249,1282,TE,SDB,3,3,967
1369,1402,TE,SDB,3,3,975
57,90,TE,SDB,4,4,983
1318,1362,VJ,AR,3,3,75
808,852,VJ,AR,3,3,141
422,437,VJ,FA,3,3,14
691,705,VJ,FA,3,3,132
597,613,VJ,FA,3,3,726
837,853,VJ,FA,3,3,742
957,973,VJ,FA,3,3,750
1197,1213,VJ,FA,3,3,766
543,647,VJ,STR,3,3,723
663,767,VJ,STR,3,3,731
903,1007,VJ,STR,3,3,747
1143,1247,VJ,STR,3,3,763
